Country,Missing Percentage,Indicator
Greece,0.0,Refrigerator Possession
Guatemala,0.0,Refrigerator Possession
"Hong Kong, China",0.0,Refrigerator Possession
Hungary,0.0,Refrigerator Possession
India,0.0,Refrigerator Possession
Indonesia,0.0,Refrigerator Possession
Iran,0.0,Refrigerator Possession
Ireland,0.0,Refrigerator Possession
Israel,0.0,Refrigerator Possession
Italy,0.0,Refrigerator Possession
Japan,0.0,Refrigerator Possession
Kazakhstan,0.0,Refrigerator Possession
Kenya,0.0,Refrigerator Possession
Latvia,0.0,Refrigerator Possession
Lithuania,0.0,Refrigerator Possession
Macedonia,0.0,Refrigerator Possession
Malaysia,0.0,Refrigerator Possession
Mexico,0.0,Refrigerator Possession
Morocco,0.0,Refrigerator Possession
Netherlands,0.0,Refrigerator Possession
New Zealand,0.0,Refrigerator Possession
Nigeria,0.0,Refrigerator Possession
Norway,0.0,Refrigerator Possession
Pakistan,0.0,Refrigerator Possession
Peru,0.0,Refrigerator Possession
Philippines,0.0,Refrigerator Possession
Poland,0.0,Refrigerator Possession
Portugal,0.0,Refrigerator Possession
Romania,0.0,Refrigerator Possession
Russia,0.0,Refrigerator Possession
Saudi Arabia,0.0,Refrigerator Possession
Serbia,0.0,Refrigerator Possession
Singapore,0.0,Refrigerator Possession
Slovakia,0.0,Refrigerator Possession
Slovenia,0.0,Refrigerator Possession
South Africa,0.0,Refrigerator Possession
South Korea,0.0,Refrigerator Possession
Spain,0.0,Refrigerator Possession
Sweden,0.0,Refrigerator Possession
Switzerland,0.0,Refrigerator Possession
Taiwan,0.0,Refrigerator Possession
Thailand,0.0,Refrigerator Possession
Tunisia,0.0,Refrigerator Possession
Turkey,0.0,Refrigerator Possession
USA,0.0,Refrigerator Possession
Ukraine,0.0,Refrigerator Possession
United Arab Emirates,0.0,Refrigerator Possession
United Kingdom,0.0,Refrigerator Possession
Uruguay,0.0,Refrigerator Possession
Uzbekistan,0.0,Refrigerator Possession
Venezuela,0.0,Refrigerator Possession
Vietnam,0.0,Refrigerator Possession
Algeria,0.0,Ice Cream Volume per Capita
Argentina,0.0,Ice Cream Volume per Capita
Australia,0.0,Ice Cream Volume per Capita
Austria,0.0,Ice Cream Volume per Capita
Azerbaijan,0.0,Ice Cream Volume per Capita
Belarus,0.0,Ice Cream Volume per Capita
Belgium,0.0,Ice Cream Volume per Capita
Bolivia,0.0,Ice Cream Volume per Capita
Bosnia-Herzegovina,0.0,Ice Cream Volume per Capita
Brazil,0.0,Ice Cream Volume per Capita
Bulgaria,0.0,Ice Cream Volume per Capita
Cameroon,0.0,Ice Cream Volume per Capita
Canada,0.0,Ice Cream Volume per Capita
Chile,0.0,Ice Cream Volume per Capita
China,0.0,Ice Cream Volume per Capita
Colombia,0.0,Ice Cream Volume per Capita
Costa Rica,0.0,Ice Cream Volume per Capita
Croatia,0.0,Ice Cream Volume per Capita
Czech Republic,0.0,Ice Cream Volume per Capita
Denmark,0.0,Ice Cream Volume per Capita
Dominican Republic,0.0,Ice Cream Volume per Capita
Ecuador,0.0,Ice Cream Volume per Capita
Egypt,0.0,Ice Cream Volume per Capita
Estonia,0.0,Ice Cream Volume per Capita
Finland,0.0,Ice Cream Volume per Capita
France,0.0,Ice Cream Volume per Capita
Georgia,0.0,Ice Cream Volume per Capita
Germany,0.0,Ice Cream Volume per Capita
Greece,0.0,Ice Cream Volume per Capita
Guatemala,0.0,Ice Cream Volume per Capita
"Hong Kong, China",0.0,Ice Cream Volume per Capita
Hungary,0.0,Ice Cream Volume per Capita
India,0.0,Ice Cream Volume per Capita
Indonesia,0.0,Ice Cream Volume per Capita
Iran,0.0,Ice Cream Volume per Capita
Ireland,0.0,Ice Cream Volume per Capita
Israel,0.0,Ice Cream Volume per Capita
Italy,0.0,Ice Cream Volume per Capita
Japan,0.0,Ice Cream Volume per Capita
Kazakhstan,0.0,Ice Cream Volume per Capita
Kenya,0.0,Ice Cream Volume per Capita
Latvia,0.0,Ice Cream Volume per Capita
Lithuania,0.0,Ice Cream Volume per Capita
Macedonia,0.0,Ice Cream Volume per Capita
Malaysia,0.0,Ice Cream Volume per Capita
Mexico,0.0,Ice Cream Volume per Capita
Morocco,0.0,Ice Cream Volume per Capita
Netherlands,0.0,Ice Cream Volume per Capita
New Zealand,0.0,Ice Cream Volume per Capita
Nigeria,0.0,Ice Cream Volume per Capita
Norway,0.0,Ice Cream Volume per Capita
Pakistan,0.0,Ice Cream Volume per Capita
Peru,0.0,Ice Cream Volume per Capita
Philippines,0.0,Ice Cream Volume per Capita
Poland,0.0,Ice Cream Volume per Capita
Portugal,0.0,Ice Cream Volume per Capita
Romania,0.0,Ice Cream Volume per Capita
Russia,0.0,Ice Cream Volume per Capita
Saudi Arabia,0.0,Ice Cream Volume per Capita
Serbia,0.0,Ice Cream Volume per Capita
Singapore,0.0,Ice Cream Volume per Capita
Slovakia,0.0,Ice Cream Volume per Capita
Slovenia,0.0,Ice Cream Volume per Capita
South Africa,0.0,Ice Cream Volume per Capita
South Korea,0.0,Ice Cream Volume per Capita
Spain,0.0,Ice Cream Volume per Capita
Sweden,0.0,Ice Cream Volume per Capita
Switzerland,0.0,Ice Cream Volume per Capita
Taiwan,0.0,Ice Cream Volume per Capita
Thailand,0.0,Ice Cream Volume per Capita
Tunisia,0.0,Ice Cream Volume per Capita
Turkey,0.0,Ice Cream Volume per Capita
USA,0.0,Ice Cream Volume per Capita
Ukraine,0.0,Ice Cream Volume per Capita
United Arab Emirates,0.0,Ice Cream Volume per Capita
United Kingdom,0.0,Ice Cream Volume per Capita
Uruguay,0.0,Ice Cream Volume per Capita
Uzbekistan,0.0,Ice Cream Volume per Capita
Venezuela,0.0,Ice Cream Volume per Capita
Vietnam,0.0,Ice Cream Volume per Capita
Algeria,0.0,GDP per Capita
Argentina,0.0,GDP per Capita
Australia,0.0,GDP per Capita
Austria,0.0,GDP per Capita
Azerbaijan,0.0,GDP per Capita
Belarus,0.0,GDP per Capita
Belgium,0.0,GDP per Capita
Bolivia,0.0,GDP per Capita
Bosnia-Herzegovina,0.0,GDP per Capita
Brazil,0.0,GDP per Capita
Bulgaria,0.0,GDP per Capita
Cameroon,0.0,GDP per Capita
Canada,0.0,GDP per Capita
Chile,0.0,GDP per Capita
China,0.0,GDP per Capita
Colombia,0.0,GDP per Capita
Costa Rica,0.0,GDP per Capita
Croatia,0.0,GDP per Capita
Czech Republic,0.0,GDP per Capita
Denmark,0.0,GDP per Capita
Dominican Republic,0.0,GDP per Capita
Ecuador,0.0,GDP per Capita
Egypt,0.0,GDP per Capita
Estonia,0.0,GDP per Capita
Finland,0.0,GDP per Capita
France,0.0,GDP per Capita
Georgia,0.0,GDP per Capita
Germany,0.0,GDP per Capita
Greece,0.0,GDP per Capita
Guatemala,0.0,GDP per Capita
"Hong Kong, China",0.0,GDP per Capita
Hungary,0.0,GDP per Capita
India,0.0,GDP per Capita
Indonesia,0.0,GDP per Capita
Iran,0.0,GDP per Capita
Ireland,0.0,GDP per Capita
Israel,0.0,GDP per Capita
Italy,0.0,GDP per Capita
Japan,0.0,GDP per Capita
Kazakhstan,0.0,GDP per Capita
Kenya,0.0,GDP per Capita
Latvia,0.0,GDP per Capita
Lithuania,0.0,GDP per Capita
Macedonia,0.0,GDP per Capita
Malaysia,0.0,GDP per Capita
Mexico,0.0,GDP per Capita
Morocco,0.0,GDP per Capita
Netherlands,0.0,GDP per Capita
New Zealand,0.0,GDP per Capita
Nigeria,0.0,GDP per Capita
Norway,0.0,GDP per Capita
Pakistan,0.0,GDP per Capita
Peru,0.0,GDP per Capita
Philippines,0.0,GDP per Capita
Poland,0.0,GDP per Capita
Portugal,0.0,GDP per Capita
Romania,0.0,GDP per Capita
Russia,0.0,GDP per Capita
Saudi Arabia,0.0,GDP per Capita
Serbia,0.0,GDP per Capita
Singapore,0.0,GDP per Capita
Slovakia,0.0,GDP per Capita
Slovenia,0.0,GDP per Capita
South Africa,0.0,GDP per Capita
South Korea,0.0,GDP per Capita
Spain,0.0,GDP per Capita
Sweden,0.0,GDP per Capita
Switzerland,0.0,GDP per Capita
Taiwan,0.0,GDP per Capita
Thailand,0.0,GDP per Capita
Tunisia,0.0,GDP per Capita
Turkey,0.0,GDP per Capita
USA,0.0,GDP per Capita
Ukraine,0.0,GDP per Capita
United Arab Emirates,0.0,GDP per Capita
United Kingdom,0.0,GDP per Capita
Uruguay,0.0,GDP per Capita
Uzbekistan,0.0,GDP per Capita
Venezuela,0.0,GDP per Capita
Vietnam,0.0,GDP per Capita
